educ,wrkstat,income,year,alcmon,verep,analwt_c2,yearrecode,bngdrkmon,coutyp4,catag3,vestr,mrjmon,irsex,mrjflag,irsex2
3,1,4,2018,0,1,5778,2018,0,2,2,40001,1,2,1,1
1,4,1,2018,0,1,4311,2018,0,2,2,40001,0,1,0,0
2,1,3,2018,0,1,20793,2018,0,1,5,40001,0,2,0,1
1,1,2,2018,0,1,1974,2018,0,2,4,40001,0,2,0,1
4,2,4,2018,0,1,12842,2018,0,1,5,40001,0,2,1,1
1,2,1,2018,1,1,731,2018,1,2,4,40001,0,2,1,1
4,4,2,2018,1,1,10849,2018,0,2,5,40001,0,1,1,0
2,4,1,2018,1,1,1660,2018,0,2,5,40001,1,1,1,0
4,1,4,2018,1,1,5882,2018,0,2,5,40001,0,2,1,1
2,4,2,2018,0,1,2439,2018,0,2,3,40001,0,2,1,1
1,1,2,2018,0,1,2715,2018,0,2,2,40001,0,1,0,0
1,1,3,2018,1,1,5236,2018,0,1,3,40001,1,1,1,0
2,2,2,2018,0,1,10962,2018,0,2,5,40001,0,2,0,1
1,4,1,2018,0,1,3542,2018,0,1,2,40001,0,1,0,0
4,2,2,2018,0,1,9736,2018,0,1,3,40001,0,2,1,1
1,1,3,2018,0,1,3841,2018,0,2,4,40001,0,1,1,0
3,2,2,2018,1,1,3440,2018,0,1,2,40001,0,2,1,1
2,2,2,2018,0,1,7008,2018,0,1,2,40001,0,1,0,0
2,1,2,2018,0,1,1635,2018,0,3,4,40001,0,2,1,1
1,1,2,2018,1,1,2696,2018,1,2,3,40001,1,2,1,1
3,1,2,2018,1,1,5058,2018,1,1,2,40001,1,1,1,0
3,2,2,2018,0,1,974,2018,0,2,2,40001,0,2,0,1
2,4,4,2018,1,1,7089,2018,0,2,4,40001,0,2,1,1
4,1,4,2018,1,1,12423,2018,0,1,3,40001,0,1,0,0
2,1,4,2018,1,1,1072,2018,0,2,4,40001,0,1,1,0
3,1,2,2018,1,1,3456,2018,1,1,2,40001,1,2,1,1
4,1,2,2018,1,1,7242,2018,0,1,4,40001,0,2,1,1
1,1,2,2018,1,1,2732,2018,1,1,2,40001,1,1,1,0
1,4,3,2018,0,1,8243,2018,0,2,3,40001,0,2,1,1
3,4,1,2018,0,1,754,2018,0,1,5,40001,0,2,0,1
4,1,4,2018,0,1,9012,2018,0,1,4,40001,0,1,1,0
2,1,4,2018,1,1,3593,2018,1,1,2,40001,0,1,1,0
4,1,4,2018,1,1,22144,2018,0,2,5,40001,1,2,1,1
4,1,3,2018,0,1,16873,2018,0,1,3,40001,0,2,0,1
3,1,2,2018,1,1,2223,2018,1,2,4,40001,1,2,1,1
2,4,2,2018,0,1,335,2018,0,3,2,40001,0,1,0,0
2,1,3,2018,0,1,9055,2018,0,1,4,40001,0,2,0,1
1,4,4,2018,0,1,4040,2018,0,2,5,40001,0,2,0,1
2,1,2,2018,1,1,3791,2018,1,2,3,40001,0,1,0,0
1,2,1,2018,0,1,9428,2018,0,1,4,40001,0,2,0,1
4,1,2,2018,0,1,1117,2018,0,3,3,40001,0,2,1,1
3,1,3,2018,0,1,18550,2018,0,2,5,40001,0,2,1,1
4,1,3,2018,0,1,7432,2018,0,1,3,40001,0,1,0,0
4,1,4,2018,0,1,7866,2018,0,1,4,40001,0,2,0,1
4,1,4,2018,1,1,8530,2018,0,2,5,40001,0,1,0,0
2,1,2,2018,0,1,9070,2018,0,1,4,40001,1,1,1,0
3,1,4,2018,0,1,3147,2018,0,2,2,40001,1,1,1,0
2,1,2,2018,1,1,632,2018,0,2,2,40001,0,1,0,0
2,3,2,2018,1,1,1528,2018,1,1,2,40001,1,2,1,1
3,1,2,2018,0,1,322,2018,0,3,2,40001,0,1,1,0
2,1,2,2018,0,1,7806,2018,0,3,3,40001,0,1,0,0
