educ,wrkstat,income,alcmon,verep,analwt_c2,bngdrkmon,coutyp4,catag3,vestr,mrjmon,mrjflag,irsex2,YearNew
3,1,4,0,1,5778,0,2,2,40001,1,1,1,0
1,4,1,0,1,4311,0,2,2,40001,0,0,0,0
2,1,3,0,1,20793,0,1,5,40001,0,0,1,0
1,1,2,0,1,1974,0,2,4,40001,0,0,1,0
4,2,4,0,1,12842,0,1,5,40001,0,1,1,0
1,2,1,1,1,731,1,2,4,40001,0,1,1,0
4,4,2,1,1,10849,0,2,5,40001,0,1,0,0
2,4,1,1,1,1660,0,2,5,40001,1,1,0,0
4,1,4,1,1,5882,0,2,5,40001,0,1,1,0
2,4,2,0,1,2439,0,2,3,40001,0,1,1,0
1,1,2,0,1,2715,0,2,2,40001,0,0,0,0
1,1,3,1,1,5236,0,1,3,40001,1,1,0,0
2,2,2,0,1,10962,0,2,5,40001,0,0,1,0
1,4,1,0,1,3542,0,1,2,40001,0,0,0,0
4,2,2,0,1,9736,0,1,3,40001,0,1,1,0
1,1,3,0,1,3841,0,2,4,40001,0,1,0,0
3,2,2,1,1,3440,0,1,2,40001,0,1,1,0
2,2,2,0,1,7008,0,1,2,40001,0,0,0,0
2,1,2,0,1,1635,0,3,4,40001,0,1,1,0
1,1,2,1,1,2696,1,2,3,40001,1,1,1,0
3,1,2,1,1,5058,1,1,2,40001,1,1,0,0
3,2,2,0,1,974,0,2,2,40001,0,0,1,0
2,4,4,1,1,7089,0,2,4,40001,0,1,1,0
4,1,4,1,1,12423,0,1,3,40001,0,0,0,0
2,1,4,1,1,1072,0,2,4,40001,0,1,0,0
3,1,2,1,1,3456,1,1,2,40001,1,1,1,0
4,1,2,1,1,7242,0,1,4,40001,0,1,1,0
1,1,2,1,1,2732,1,1,2,40001,1,1,0,0
1,4,3,0,1,8243,0,2,3,40001,0,1,1,0
3,4,1,0,1,754,0,1,5,40001,0,0,1,0
4,1,4,0,1,9012,0,1,4,40001,0,1,0,0
