Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
518.723,1,1,2,3,3,6,6,-0.6239,1.069,1.0562,1
461.359,1,1,1,4,4,6,6,2.5915,-0.5023,0.5407,1
465.207,1,1,2,1,3,6,6,-0.0099,-0.3718,0.7333,1
607.03,1,1,1,3,4,6,6,1.0269,-0.1413,0.756,1
504.359,1,1,2,4,3,6,6,0.3791,0.4801,1.0257,1
515.148,1,1,2,5,3,4,4,-0.3381,1.1682,-0.2608,1
549.579,1,1,2,2,3,4,5,-0.1613,0.1517,0.7439,1
548.094,1,1,2,3,4,6,6,0.9357,-0.8423,0.7464,1
580.299,1,1,1,4,3,6,6,0.5311,0.8394,1.2198,1
636.027,1,1,1,4,4,6,6,0.4597,1.0463,1.3578,1
517.035,1,1,2,2,3,5,5,-0.3381,0.4778,0.1612,1
578.417,2,1,1,5,4,6,6,0.6642,0.4899,1.112,1
572.344,2,1,2,4,4,6,6,0.2774,1.1488,1.2715,1
497.527,2,1,1,6,4,6,6,1.0269,3.4162,2.2907,1
520.292,2,1,1,2,4,4,4,0.3602,0.2393,-0.6021,1
568.613,2,1,1,3,3,4,4,-0.4725,1.8054,0.0561,1
531.883,2,1,1,4,3,6,6,-0.4725,0.9469,1.1973,1
591.504,2,1,2,5,3,6,6,-0.3381,0.0846,1.025,1
403.077,2,1.214797552,2.020690076,1,2,4,4,-0.983,-1.3047,-1.0869,1
502.079,2,1,1,3,3,5,6,-0.4725,1.6784,1.4661,1
650.743,2,1,1,5,4,6,6,0.6642,0.7507,1.2078,1
515.814,2,1,2,3,9,5,5,-0.5045,-0.0402,0.0121,1
474.982,2,1,2,2,4,6,6,1.398,0.5061,0.746,1
559.901,2,1,2,2,3,6,6,-0.7263,-0.8794,0.4228,1
615.086,2,1,1,3,4,6,6,0.7279,0.3522,1.082,1
695.626,2,1,1,5,4,6,6,0.3171,0.4917,1.1746,1
415.764,2,1,2,5,1,4,4,-0.5754,1.8853,1.0979,1
532.244,2,1,2,4,4,6,6,0.412,-0.347,0.8457,1
547.844,2,1,2,3,3,5,6,0.2947,-0.2464,0.986,1
558.086,2,1,2,3,3,6,6,-0.779,-0.0455,0.9359,1
600.652,2,0.893387083,0.757249554,4.616021629,2.639740275,5.79543123,5.854792645,-0.211614047,1.746544196,1.483727573,1
458.663,2,1,1,5,2,6,6,-1.2283,0.9151,1.0616,1
639.065,2,1,2,3,4,6,6,-0.4538,1.0298,0.8971,1
377.287,2,1,2,2,3,5,5,-0.082,0.6327,0.5701,1
522.705,1,1,1,3,3,6,6,-0.5064,1.4008,1.736,1
476.038,2,1,1,5,3,6,6,-0.5064,1.34,1.4244,1
485.426,2,1,1,1,4,6,6,2.5915,1.7166,1.2528,1
448.298,2,1,1,5,4,4,6,1.5043,2.9584,1.6165,1
558.738,2,1,1,5,4,6,6,0.6642,1.1234,1.1588,1
658.852,2,1,1,6,2,6,6,-1.1467,1.4697,1.7614,1
630.828,2,1,1,6,4,6,6,-0.0621,5.2272,3.1009,1
643.456,2,1,1,5,3,6,6,-0.6525,1.0525,1.608,1
666.048,2,1,1,6,4,6,6,2.5915,1.0187,0.6038,1
694.448,2,1,1,6,3,6,6,-0.3381,1.3619,1.6184,1
533.618,2,1,2,5,3,6,6,0.0603,0.35,1.0192,1
529.895,2,1,1,5,4,6,6,1.5043,0.8772,1.337,1
567.868,1,1,1,4,1,6,6,-0.9754,1.6818,1.5913,1
546.19,1,1,1,5,3,6,6,-0.3381,1.6196,1.5271,1
562.906,1,1,1,3,2,6,6,-0.2511,2.0284,1.7335,1
598.807,1,1,1,4,3,6,6,0.2947,0.5745,1.2671,1
680.848,1,1,2,5,3,5,5,-0.66,0.5847,0.903,1
722.362,1,1,1,4,2,6,6,-0.7244,1.8471,1.8174,1
579.334,2,1,1,4,3,5,5,0.1434,1.6431,1.3746,1
533.358,2,1,2,3,4,6,6,2.5915,-0.2918,0.866,1
531.586,2,1,1,3,4,6,6,0.1643,1.8558,1.6346,1
335.164,2,1,1,3,4,5,5,0.6642,1.2345,0.5632,1
547.168,2,1,1,4,3,4,4,-0.7346,0.018,0.1224,1
621.267,2,1,1,3,4,6,6,1.1088,0.6977,1.271,1
583.397,2,1,2,3,4,5,6,0.1643,-0.1765,0.9911,1
688.639,2,1,1,4,3,5,6,-0.611,-0.1463,1.0022,1
553.082,2,1,2,4,3,6,6,0.0248,0.1493,0.6355,1
546.936,2,1,1,3,4,6,6,1.5043,-0.3108,0.6318,1
557.333,2,1,1,5,4,5,6,1.0269,1.5086,1.4864,1
621.202,2,1,1,5,4,6,6,0.9357,0.3487,1.0601,1
500.198,2,1,1,3,4,6,6,-0.2015,0.3091,0.8596,1
521.301,2,1,1,4,3,5,5,0.2947,0.2491,0.6144,1
647.372,2,1,1,3,1,6,6,-2.4441,0.3292,1.3009,1
501.918,2,1,2,2,4,6,6,0.3998,0.669,0.9435,1
653.651,1,1,1,3,4,6,6,0.6642,0.2361,0.1095,1
527.93,1,1,1,3,2,6,6,-1.0421,0.3754,1.1732,1
552.337,1,1,1,3,4,5,5,0.1985,0.5326,-0.1493,1
596.035,1,1,2,4,4,6,6,0.7701,0.4529,1.243,1
499.567,1,1,1,5,4,6,6,1.5611,1.4825,1.6007,1
659.119,1,1,1,4,3,6,6,0.0248,-1.0943,0.3232,1
598.082,1,1,1,5,4.212035854,6,6,1.779598659,1.3114,1.5482,1
652.716,1,1,1,5,4,6,6,0.6642,0.2621,0.6976,1
502.732,1,1,1,3,4,6,6,0.1643,0.3615,1.1061,1
561.119,1,1,1,4,4,5,5,-0.0621,-0.2159,0.6088,1
560.21,1,1,2.28782637,3,4,6,6,1.0269,-0.1911,1.151,1
644.051,1,1,1,4,4,6,6,0.045,0.3969,1.2844,1
648.767,1,1,1,5,4,6,6,0.9357,0.4785,1.0458,1
642.716,1,1,1,5,4,6,6,0.6087,0.8611,1.4964,1
522.202,1,1,1,3,3,6,6,-0.5223,-0.3944,0.7704,1
538.271,1,1,2,5,4,6,6,0.7934,0.9516,1.509,1
668.702,2,1,1,5,3,6,6,-0.8644,1.2088,1.3349,1
634.372,2,1,2,3,4,4,6,0.6087,-0.1174,0.8475,1
571.851,2,1,1,5,4,5,5,2.5915,1.3719,1.0683,1
712.758,2,1,1,5,4,5,5,0.0294,0.8691,1.0902,1
586.852,2,1,1,5,3,2,5,-0.5064,1.1296,-0.2399,1
560.91,1,1,1,1,4,6,6,2.5915,0.2962,0.5862,1
643.57,1,1,2,3,3,6,6,0.0248,0.5366,1.2325,1
661.895,1,1,2,4,3,6,6,-1.0562,-0.1377,1.0053,1
627.135,1,1,1,4,2,4,5,-0.8427,0.7188,0.911,1
564.022,1,1,2,2,4,6,6,0.1771,0.3582,1.1049,1
675.563,1,1,2,4,3,6,6,-0.3381,-0.1878,0.7596,1
501.125,1,1,2,3,4,4,4,2.5915,0.0415,-0.3855,1
531.42,1,1,1,2,4,6,6,2.5915,-0.1126,0.7046,1
621.007,1,1,2,3,2,6,6,-0.8144,-0.1588,0.2537,1
589.679,1,1,1,2,2,5,5,-0.9214,0.1947,0.5944,1
564.132,1,1,1,3,3,6,6,-0.9909,0.6801,1.1612,1
567.588,1,1,2,4,4,5,5,0.6642,0.8793,0.4534,1
560.446,1,1,2,3,4,6,6,1.0269,0.9508,1.178,1
664.705,1,1,2,5,2,6,6,-0.9091,1.2154,1.4613,1
520.022,1,1,1,3,3,1,6,-0.3381,1.7826,0.6365,1
531.112,1,1,1,4,4,6,6,0.6642,0.9858,0.9843,1
669.101,1,1,0.655768565,6,4,6,6,0.6642,0.9454,1.4034,1
