"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","prop.score","weights"
489.353,2,1,2,3,3,4,4,-0.7346,-0.4169,-0.5747,1,0.0226788309601402,1
468.466,2,1,1,5,1,6,6,-3.1297,1.4445,1.1136,1,0.107476350070846,1
646.53,2,1,1,3,3,6,6,0.3645,1.1482,1.1287,1,0.116559201377382,1
549.696,2,1,2,3,3,6,6,0.2947,-0.0122,0.2683,1,0.0573425737867501,1
520.364,2,1,2,3,3,6,6,-0.3381,0.6038,0.9699,1,0.0774363842091884,1
486.109,2,1,2,4,3,5,6,0.0248,-0.1363,0.6153,1,0.0686888573937506,1
507.414,2,1,2,2,4,5,6,1.398,0.4764,0.9645,1,0.0680696671989971,1
623.561,2,1,2,4,3,6,6,0.7333,0.8116,1.005,1,0.0946566157751781,1
466.84,2,1,1,5,4,4,4,1.5043,-0.259,0.0413,1,0.073152558909944,1
431.239,2,1,1,4,2,6,6,-0.983,-0.0951,1.0234,1,0.131712531461008,1
504.407,2,1,1,5,2,6,6,0.0048,2.4301,1.7031,1,0.168091733038373,1
481.011,2,1,1,3,4,4,5,0.3171,0.0511,0.2337,1,0.0563367943488691,1
565.37,2,1,2,3,2,6,6,-1.1407,0.006,0.7089,1,0.067187097871432,1
636.169,2,1,2,5,3,6,6,0.2947,0.9703,1.1873,1,0.112717065997755,1
349.382,2,1,2,4,4,6,6,1.5611,0.7499,1.0856,1,0.106982505770046,1
540.197,2,1,2,1,3,6,6,0.7333,0.2717,0.8066,1,0.0622485467959844,1
544.635,2,1,1,6,3,4,6,-0.3381,1.2584,0.7972,1,0.0939455577232595,1
747.374,2,1,1,5,3,6,6,0.2947,2.4143,1.8006,1,0.181568754375314,1
623.209,2,1,2,5,4,6,6,0.6642,0.3783,0.9491,1,0.109135241106924,1
437.347,2,1,2,4,3,4,4,-0.3381,0.468,-0.828,1,0.0197972778053499,1
544.029,2,1,1,4,4,6,6,0.6642,1.8362,1.4435,1,0.146890682595255,1
525.473,1,1,2,4,3,6,6,-0.5064,0.2098,-0.1667,1,0.0414136884440218,1
571.437,1,1,1,5,1,5,6,-2.032,1.629,1.4294,1,0.110259466563363,1
522.679,1,1,2,3,4,5,5,1.5611,0.1745,0.2378,1,0.0473114061873516,1
577.287,1,1,1,5,2,6,6,-1.251,1.2068,1.1916,1,0.125335463064508,1
432.612,1,1,2,4,3,4,6,-0.3381,0.346,1.0405,1,0.0642684272329627,1
572.238,1,1,1,6,3,6,6,-0.3381,0.7474,1.1054,1,0.152502803864123,1
441.869,1,1,1.119484198,3,3,6,6,0.0248,1.9289,1.5189,1,0.115386793500334,1
547.346,1,1,2,4,4,6,6,1.5043,0.9537,1.2432,1,0.106045460234937,1
489.283,1,1,2,3,3,6,6,0.3791,1.4952,1.2149,1,0.0781336895750232,1
475.379,1,1,2,2,3,4,4,-0.3381,-0.0988,-0.995,1,0.0137105576299673,1
606.77,1,1,1,5,2,6,6,-0.654,1.8241,0.7572,1,0.092835900369659,1
502.7,1,1,2,2,3,4,4,-0.5753,-0.6155,-0.317,1,0.0227716864182802,1
487.521,1,1,2,3,3,4,4,-0.4725,0.0144,-0.5815,1,0.0200048343445322,1
500.688,1,1,1,4,4,6,6,1.398,1.472,1.2477,1,0.135871528935926,1
635.823,1,1,1,5,3,6,6,-0.3381,1.4692,1.3706,1,0.143890079422145,1
574.702,1,1,1,3,2,4,6,-1.0362,0.4264,1.1527,0,0.0800043992443033,1
302.917,1,1,2,4.943402763,3,4,4,-0.225100568,0.9409,-0.4683,0,0.0247067983547155,1
378.295,2,1,1,6,2,6,6,-1.1053,0.6564,0.2247,0,0.0926218591465057,1
495.888,2,1,2,2,4,4,4,0.5901,-0.3238,-0.7884,0,0.0190554546118334,1
643.507,1,1,2,5,2,6,6,-0.6981,1.4157,1.4543,0,0.107304006600851,1
518.289,1,1,2,4,4,6,6,2.5915,0.7786,1.2202,0,0.116577439089231,1
591.228,1,1,1,5,3,6,6,-0.9678,2.7577,1.5962,0,0.131649544720011,1
301.199,2,1,1,2,3,6,6,0.3791,0.3748,0.8031,0,0.0946407011117124,1
509.165,1,1,1,6,4,5,6,1.5611,5.2563,2.5971,0,0.195209306352155,1
490.059,1,1,1,4,3,6,6,-0.6334,0.6919,0.961,0,0.109173653405678,1
309.795,1,1,2,3,2,2,6,-0.2953,-0.0363,0.4041,0,0.0286797864917794,1
