"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","pscore"
489.353,2,1,2,3,3,4,4,-0.7346,-0.4169,-0.5747,1,0.0208652285953943
468.466,2,1,1,5,1,6,6,-3.1297,1.4445,1.1136,1,0.0478325537004124
646.53,2,1,1,3,3,6,6,0.3645,1.1482,1.1287,1,0.129781427610899
549.696,2,1,2,3,3,6,6,0.2947,-0.0122,0.2683,1,0.0551753010160527
520.364,2,1,2,3,3,6,6,-0.3381,0.6038,0.9699,1,0.0825560568737703
486.109,2,1,2,4,3,5,6,0.0248,-0.1363,0.6153,1,0.069266630005295
507.414,2,1,2,2,4,5,6,1.398,0.4764,0.9645,1,0.0772272903887034
623.561,2,1,2,4,3,6,6,0.7333,0.8116,1.005,1,0.104991130647951
466.84,2,1,1,5,4,4,4,1.5043,-0.259,0.0413,1,0.0769088315129661
431.239,2,1,1,4,2,6,6,-0.983,-0.0951,1.0234,1,0.132376471081583
504.407,2,1,1,5,2,6,6,0.0048,2.4301,1.7031,1,0.157379993013064
481.011,2,1,1,3,4,4,5,0.3171,0.0511,0.2337,1,0.0522949754092782
565.37,2,1,2,3,2,6,6,-1.1407,0.006,0.7089,1,0.0586860466044171
636.169,2,1,2,5,3,6,6,0.2947,0.9703,1.1873,1,0.122973095320666
349.382,2,1,2,4,4,6,6,1.5611,0.7499,1.0856,1,0.118475449105845
540.197,2,1,2,1,3,6,6,0.7333,0.2717,0.8066,1,0.0687050063286535
544.635,2,1,1,6,3,4,6,-0.3381,1.2584,0.7972,1,0.0870061983317046
747.374,2,1,1,5,3,6,6,0.2947,2.4143,1.8006,1,0.178748634545879
623.209,2,1,2,5,4,6,6,0.6642,0.3783,0.9491,1,0.120921726110896
437.347,2,1,2,4,3,4,4,-0.3381,0.468,-0.828,1,0.0346736972803195
544.029,2,1,1,4,4,6,6,0.6642,1.8362,1.4435,1,0.158628082846316
525.473,1,1,2,4,3,6,6,-0.5064,0.2098,-0.1667,1,0.0471741432628394
571.437,1,1,1,5,1,5,6,-2.032,1.629,1.4294,1,0.0805214932266468
522.679,1,1,2,3,4,5,5,1.5611,0.1745,0.2378,1,0.0486304745461964
577.287,1,1,1,5,2,6,6,-1.251,1.2068,1.1916,1,0.114532335410938
432.612,1,1,2,4,3,4,6,-0.3381,0.346,1.0405,1,0.0735425476149581
572.238,1,1,1,6,3,6,6,-0.3381,0.7474,1.1054,1,0.161357977614136
441.869,1,1,1.119484198,3,3,6,6,0.0248,1.9289,1.5189,1,0.141266435894853
547.346,1,1,2,4,4,6,6,1.5043,0.9537,1.2432,1,0.130485776228791
489.283,1,1,2,3,3,6,6,0.3791,1.4952,1.2149,1,0.0949040678177362
475.379,1,1,2,2,3,4,4,-0.3381,-0.0988,-0.995,1,0.0169620654066639
606.77,1,1,1,5,2,6,6,-0.654,1.8241,0.7572,1,0.0899134960794848
502.7,1,1,2,2,3,4,4,-0.5753,-0.6155,-0.317,1,0.0181355683860542
487.521,1,1,2,3,3,4,4,-0.4725,0.0144,-0.5815,1,0.0232722321820605
500.688,1,1,1,4,4,6,6,1.398,1.472,1.2477,1,0.153980749031253
635.823,1,1,1,5,3,6,6,-0.3381,1.4692,1.3706,1,0.152780175053025
392.344,1,0.980529045,2.329121714,2.987691821,2.51501066,2.171635796,4.069219208,-0.165765336,-0.185453713,0.163528467,0,0.0224090053517864
391.089,1,1,2,1,3,6,6,-0.3381,0.7985,1.2068,0,0.0863407635593599
568.339,1,1,1,2,3,5,5,-0.5942,0.2952,0.5921,0,0.0582574946541891
525.732,1,1,2,1,4,4,4,2.5915,-0.083,0.2713,0,0.0275391913971263
517.494,1,1,2,2,2,5,6,-1.1407,-0.107,0.7707,0,0.0469162227601802
574.702,1,1,1,3,2,4,6,-1.0362,0.4264,1.1527,0,0.0866560083140325
338.935,1,1,2,2,3,5,5,-0.4284,-1.1318,-0.6143,0,0.0185275772008416
413.596,1,1,2,1,2,2,2,-0.96,-0.6025,-1.4012,0,0.00631163559614288
436.571,1,1,1,1,3,6,6,-0.3381,0.6247,1.0603,0,0.102400091930998
482.53,1,1,2,3,4,4,4,0.7701,1.0899,0.1237,0,0.0350113609456799
588.717,1,1,2,1,2,6,6,-0.8144,-0.3704,0.9956,0,0.0774782215429537
497.741,1,1,2,4,3,6,6,-0.8444,0.719,0.7437,0,0.0661438876543884
341.376,1,1,1,1,2,4,6,-1.0137,-1.5424,-0.6867,0,0.0126971041788293
528.074,1,1,1,3,2,5,6,-0.8814,0.8975,1.1605,0,0.0956884294603811
433.142,1,1,1,2,3,6,6,0.5643,0.9264,1.3365,0,0.162997493923213
424.588,2,1,2,2,3,2,2,-0.5064,0.3161,-0.8983,0,0.0121501646937015
515.481,2,1,2,1,4,4,6,0.9357,-1.1648,-0.3826,0,0.0164663480830489
471.04,2,1,2,1,2,4,4,-0.2511,0.623,-0.5645,0,0.0148764178844359
344.809,2,1,1,2,3,6,6,0.1313,0.655,1.0301,0,0.116798410249414
483.539,2,1,2,2,4,4,4,0.4451,0.8717,0.0849,0,0.0273543727094073
479.432,2,1,2,3,4,6,6,0.7934,-0.281,0.3348,0,0.06268678015798
372.331,2,1.015214649,1.355761231,4,3,4,4,-0.66,1.8609,0.779,0,0.048047925113095
558.523,2,1,1,4,3,4,6,-0.5753,-0.1464,0.6529,0,0.0737965540379742
423.536,2,1,2,2,3,6,6,-0.3381,-1.081,-0.5171,0,0.02399888800655
651.564,2,1,2,4,4,4,4,0.1985,0.398,0.3447,0,0.0460734473256646
436,2,1,1,3,4,2,4,-0.0621,0.936,-0.4494,0,0.0270738007294242
455.695,2,1,2,3,3,4,4,0.2947,0.6837,0.3464,0,0.0381495648959754
514.983,2,1,1,3,1,6,6,-1.1955,-0.3896,0.9355,0,0.109558145479391
575.9,2,1,1,3,2,5,5,-0.9414,0.1495,-0.4533,0,0.0359501219142102
379.501,2,1,2,1,3,1,1,-1.0036,-1.1987,-2.0893,0,0.00493062341935312
401.895,2,1,2,5,4,6,6,-0.1291,0.1622,0.8903,0,0.10852372960065
460.984,1,1,2,3,3,6,6,-0.7577,0.2303,1.0187,0,0.0862067434118172
512.399,1,1,1,3,3,4,5,-0.3381,-0.4607,-0.6776,0,0.0313170367238314
302.917,1,1,2,4.943402763,3,4,4,-0.225100568,0.9409,-0.4683,0,0.0452927701019597
444.166,1,1,1,3,3,6,6,-0.9727,0.4859,0.596,0,0.0713239264897498
416.946,1,1,2,2,2,6,6,-0.7244,0.7147,0.928,0,0.0634997809530455
330.199,1,1,2,1,3,5,5,-0.4725,0.0283,-0.1053,0,0.0203760097494199
492.152,1,1,2,3,1,6,6,-0.5174,0.4937,0.0616,0,0.0409544895750409
455.596,1,1,1,3,3,6,6,-0.1862,2.4893,1.9315,0,0.180917437606805
374.463,1,1,2,1,3,4,4,-0.7346,0.4067,0.3892,0,0.0232449023467228
385.232,1,1,1,1,2,4,4,-0.9585,-0.4682,-0.4903,0,0.016284219448015
429.118,1,1,2,4,3,6,6,-0.1491,-0.3181,-0.588,0,0.0456909975481837
480.849,1,1,1,5,1,6,6,-1.618,0.7771,0.8683,0,0.0886002007055191
290.802,1,1,2,4,2,6,6,-0.983,0.2502,-0.1519,0,0.0419842377142816
372,1,1,2,6,3,2,4,-0.3381,-0.5876,-0.4101,0,0.0360296218731266
480.534,1,1,2,1,3,6,6,-0.5753,-0.2686,0.0708,0,0.0275366932528075
353.819,1,1,1,2,2,5.06279285,6,-0.4979,0.4886,0.9896,0,0.088250449607166
418.483,1,1,2,2,2,6,6,-0.654,-0.5279,-0.4171,0,0.0245587988617083
531.636,1,1,1,3,3,6,6,-0.6239,0.0297,0.0566,0,0.0563283425929921
459.853,1,1,2,2,3,5.523035355,5.693866634,-0.3381,0.5749,0.126497756,0,0.0328525559491454
369.182,1,1,2,3,4,4,4,2.5915,0.4654,-0.3537,0,0.0297415439644057
322.108,1,1,2,2,3,4,4,-0.3381,-0.2596,0.1444,0,0.0262572019457055
401.456,1,1,1,4,3,6,6,-0.5043,1.2547,1.1265,0,0.119010742782087
439.325,2,1,2,1,2,6,6,-0.7244,-1.4,-0.6343,0,0.0149096250934053
332.788,2,1,2,4,3,5,5,-0.4725,-0.3292,0.4039,0,0.0544680550053541
336.546,2,0.931387701,2.812095315,1.321803435,9,5,5,5.862257823,-2.3427402,-0.927456537,0,0.00329734593295028
457.956,2,2,2,6,2,4,4,-0.5917,-4.5466,-1.8648,0,0.000277668418383952
293.181,2,1,2,1,4,2,4,0.75,-0.7636,-1.1154,0,0.00847049261485172
431.851,2,2,2,1,3,5,5,-0.8498,-1.7262,-1.14,0,0.0238536306144321
326.315,2,1,2,1,4,4,4,-0.828,-0.0429,-0.0033,0,0.0166907958700344
392.55,2,1,1,3,4,6,6,1.5611,0.862,1.2508,0,0.168722821300599
378.295,2,1,1,6,2,6,6,-1.1053,0.6564,0.2247,0,0.0913309940638436
396.205,2,1,1.76687799,2.821525855,3,4,4,-0.4725,0.3286,-0.4757,0,0.0250950829129703
434.819,2,1,2,4,4,4,4,0.5531,0.5121,-0.1195,0,0.0399255809448682
412.695,2,1,1,1,2,4,6,-1.2461,0.3521,-0.1351,0,0.0189452253829898
391.659,2,2,1,3,4,4,4,0.3171,-1.9211,-1.4168,0,0.00589124250009312
499.428,2,1,2,1,4,4,4,2.5915,-1.0124,-0.4422,0,0.0153409572950597
419.276,2,1,2.581982119,3,3,6,6,-0.3381,-2.0352,-0.2892,0,0.0278499766172922
448.265,2,1,1,1,4,4,4,0.8589,-0.1192,-0.8372,0,0.0208829235592929
427.995,2,1,1,4,3,6,6,-0.4725,1.327,1.6627,0,0.196160500605158
462.782,2,2,1,4,3,4,4,-0.5753,-0.4631,-0.9843,0,0.00381449199628843
430.401,2,1,2,1,4,6,6,1.5043,-0.6003,-0.3404,0,0.0259447580443041
