"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","distance","weights","pscore"
489.353,2,1,2,3,3,4,4,-0.7346,-0.4169,-0.5747,1,0.0229378228889595,1,0.536730951961551
468.466,2,1,1,5,1,6,6,-3.1297,1.4445,1.1136,1,0.107875277393376,1,0.546435537626859
646.53,2,1,1,3,3,6,6,0.3645,1.1482,1.1287,1,0.115452882950002,1,0.489635131098933
549.696,2,1,2,3,3,6,6,0.2947,-0.0122,0.2683,1,0.0568132150850678,1,0.545738744976169
520.364,2,1,2,3,3,6,6,-0.3381,0.6038,0.9699,1,0.0777399619060914,1,0.522108127689023
486.109,2,1,2,4,3,5,6,0.0248,-0.1363,0.6153,1,0.0683902293458712,1,0.585864506423652
507.414,2,1,2,2,4,5,6,1.398,0.4764,0.9645,1,0.0678289551486004,1,0.531463983566139
623.561,2,1,2,4,3,6,6,0.7333,0.8116,1.005,1,0.0930417234311956,1,0.537587102975893
466.84,2,1,1,5,4,4,4,1.5043,-0.259,0.0413,1,0.0727581920278306,1,0.512369970091751
431.239,2,1,1,4,2,6,6,-0.983,-0.0951,1.0234,1,0.130242994096371,1,0.509529496715505
504.407,2,1,1,5,2,6,6,0.0048,2.4301,1.7031,1,0.163511459460495,1,0.515895988381946
481.011,2,1,1,3,4,4,5,0.3171,0.0511,0.2337,1,0.0573950068722033,1,0.532629963672498
565.37,2,1,2,3,2,6,6,-1.1407,0.006,0.7089,1,0.0665836971308522,1,0.533014587492516
636.169,2,1,2,5,3,6,6,0.2947,0.9703,1.1873,1,0.111813133596724,1,0.55150022448792
349.382,2,1,2,4,4,6,6,1.5611,0.7499,1.0856,1,0.106413218970659,1,0.529153142397289
540.197,2,1,2,1,3,6,6,0.7333,0.2717,0.8066,1,0.0610946241142839,1,0.484338105497451
544.635,2,1,1,6,3,4,6,-0.3381,1.2584,0.7972,1,0.0942751695349625,1,0.636040141849202
747.374,2,1,1,5,3,6,6,0.2947,2.4143,1.8006,1,0.180347148101993,1,0.50898784390487
623.209,2,1,2,5,4,6,6,0.6642,0.3783,0.9491,1,0.110485397330706,1,0.554396823583407
437.347,2,1,2,4,3,4,4,-0.3381,0.468,-0.828,1,0.019869801123191,1,0.57259953441479
544.029,2,1,1,4,4,6,6,0.6642,1.8362,1.4435,1,0.14871130264528,1,0.498079622195492
525.473,1,1,2,4,3,6,6,-0.5064,0.2098,-0.1667,1,0.0418175494186678,1,0.554438905439831
571.437,1,1,1,5,1,5,6,-2.032,1.629,1.4294,1,0.108411338226316,1,0.532760904823773
522.679,1,1,2,3,4,5,5,1.5611,0.1745,0.2378,1,0.0470842337303488,1,0.484988375787799
577.287,1,1,1,5,2,6,6,-1.251,1.2068,1.1916,1,0.124873678325516,1,0.498576080448064
432.612,1,1,2,4,3,4,6,-0.3381,0.346,1.0405,1,0.0645380482308167,1,0.575233453229999
572.238,1,1,1,6,3,6,6,-0.3381,0.7474,1.1054,1,0.153405711006944,1,0.513132137519921
