Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
471.563,2,1,2,2,3,6,6,-0.6837,-0.4306,0.7944,0
521.102,2,1,1,4,4,6,6,0.3171,1.5772,1.2429,0
544.427,2,1,1,6,2,6,6,-0.983,1.9871,1.125,0
354.26,2,1,1,4,3,5,5,-0.8307,1.7988,0.13,0
497.931,2,1,2,2,3,4,4,-0.1985,-0.1544,-0.8295,0
540.77,2,1.145431196,0.160317296,6.14544462,5.216045987,5.239390904,5.070304866,2.24862434,1.55158301,0.923784466,0
611.711,2,1,2,6,4,6,6,0.7701,1.4277,1.4773,0
491.827,2,1,2,1,4,5,5,1.0269,0.2042,0.7632,0
605.527,2,1,1,4,3,4,6,-0.3381,1.1496,1.1478,0
492.472,2,1,1,4,3,6,6,-0.3381,2.1403,1.6359,0
511.858,2,1,2,2,4,6,6,0.2015,0.398,0.5823,0
393.901,2,0.900935501,1.59658044,2.075787635,3.240930969,4.656744308,4.80121703,-0.471467914,0.770336995,0.662733877,0
588.922,2,1,1,6,1,6,6,-1.1955,1.927,0.6069,0
439.035,2,1,2,3,2,5,5,-0.8686,0.3656,0.6572,0
444.124,2,1,1,3,2,5,6,-0.7768,0.5564,1.1364,0
482.084,2,1,1,5,3,6,6,0.0248,1.8263,1.4791,0
569.56,2,1,2,6,4,6,6,0.3171,2.2178,1.623,0
574.473,1,1,1,3,3,6,6,-0.3381,0.1645,0.3087,0
332.328,1,1,2,1,2,4,5,-1.1407,0.3171,0.2881,0
467.66,1,1,2,2,4,5,6,0.4597,0.0996,0.6793,0
577.366,1,1,1,3,4,6,6,0.9357,1.7663,1.5604,0
434.782,1,1,2,1,4,5,5,0.6642,-0.5511,0.1137,0
560.759,1,1,1,5,4,6,6,0.2638,1.5253,1.3685,0
587.416,1,1,1,5,2,6,6,-1.1467,2.2963,1.6519,0
416.18,1,1,2,3,3,6,6,-0.4725,0.7776,0.7838,0
612.672,1,1,1,5,4,6,6,2.5915,0.7746,1.0926,0
471.999,1,1,2,3,3,5,5,0.0248,-0.2615,0.2201,0
447.806,1,1,2,3,3,5,5,1.0676,0.8625,0.4059,0
508.011,1,1,1,3,3,6,6,-0.3381,1.3411,1.5488,0
571.303,1,1,2,3,3,6,6,0.0248,0.5945,1.1918,0
493.017,1,1,1,2,2,6,6,-1.2158,0.4223,0.6945,0
450.926,1,2,2,3,3,5,5,-0.3381,0.1618,0.231,0
497.991,1,1,1,3,2,5,5,-0.7244,-0.0434,0.6102,0
470.041,2,1,2,1,3,5,5,-0.9626,-0.9415,0.3215,0
358.049,2,1,1,2,4,6,6,0.1643,-0.0747,0.9458,0
431.692,2,1,1,1,1,6,6,-1.6968,-0.5634,0.8358,0
669.767,2,1,2,4,3,4,4,-0.3381,-0.7601,-1.0934,0
389.241,2,1,2,3,4,4,5,0.6642,0.7469,0.3136,0
396.448,2,1,1,3,4,4.460287405,4.977152121,-0.2015,0.4335,0.7912,0
336.55,2,1,2,2,3,4,6,0.5643,-0.02,-0.0673,0
514.19,1,1,1,3,3,6,6,-0.7394,0.2027,1.1511,0
406.334,1,2,2,1,4,2,2,2.2154,-0.9308,-1.5425,0
498.466,1,1,2,1,4,1,1,0.5423,-1.3309,-1.4972,0
473.75,1,1,2,1,4,5,6,0.3602,-0.5441,0.608,0
478.787,1,1,2,5,3,6,6,-1.2422,0.5967,1.1512,0
527.259,1,1,2,4,4,6,6,1.5611,-0.6458,0.5706,0
387.998,2,1,2,1,4,6,6,0.3749,-0.7269,-0.327,0
628.074,2,1,1,4,4,4,6,-0.0523,-0.5745,0.5968,0
596.624,2,1,1,4,4,6,6,0.7279,-0.1198,0.7442,0
684.369,2,1,2,2,4,5,6,0.6642,0.1526,1.0294,0
347.034,2,1,2,1,1,6,6,-1.7081,-1.4486,-0.6336,0
459.998,2,1,1,2,4,4,5,0.7279,0.6499,-0.0235,0
508.118,2,1,2,1,3,5,5,-0.5021,-0.5122,0.4792,0
522.161,1,1,2,1,4,2,2,2.5915,-0.3319,-0.9941,0
571.017,1,1,1,5,4,5,6,0.6642,0.7195,0.8864,0
376.145,1,1,2,1,4,5.005406928,4.641171282,1.398,-0.8291,-0.0735,0
298.755,1,1,2,6,1,6,6,-1.5645,-0.1372,1.1708,0
518.538,1,1,2,2,3,4,4,-0.3381,-0.8726,-1.0934,0
612.396,1,1,1,3,4,5,5,0.9646,0.4049,0.4443,0
498.601,1,1,1,3,4,6,6,0.9357,0.6444,0.3216,0
595.652,1,1,1,5,3,6,6,-0.866,0.4199,1.0863,0
354.044,1,1,1,3,2,5,5,-0.6981,1.1395,0.8176,0
511.925,1,1,2,3,2,6,6,-1.9063,-1.7824,0.1529,0
665.359,1,1,1,5,3,5,6,-0.3381,1.3973,1.4248,0
540.978,1,1,1,2,2,5,6,-1.1407,-0.0382,0.6493,0
