Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
489.353,2,1,2,3,3,4,4,-0.7346,-0.4169,-0.5747,1
468.466,2,1,1,5,1,6,6,-3.1297,1.4445,1.1136,1
646.53,2,1,1,3,3,6,6,0.3645,1.1482,1.1287,1
549.696,2,1,2,3,3,6,6,0.2947,-0.0122,0.2683,1
520.364,2,1,2,3,3,6,6,-0.3381,0.6038,0.9699,1
486.109,2,1,2,4,3,5,6,0.0248,-0.1363,0.6153,1
507.414,2,1,2,2,4,5,6,1.398,0.4764,0.9645,1
623.561,2,1,2,4,3,6,6,0.7333,0.8116,1.005,1
466.84,2,1,1,5,4,4,4,1.5043,-0.259,0.0413,1
431.239,2,1,1,4,2,6,6,-0.983,-0.0951,1.0234,1
504.407,2,1,1,5,2,6,6,0.0048,2.4301,1.7031,1
481.011,2,1,1,3,4,4,5,0.3171,0.0511,0.2337,1
565.37,2,1,2,3,2,6,6,-1.1407,0.006,0.7089,1
636.169,2,1,2,5,3,6,6,0.2947,0.9703,1.1873,1
349.382,2,1,2,4,4,6,6,1.5611,0.7499,1.0856,1
540.197,2,1,2,1,3,6,6,0.7333,0.2717,0.8066,1
544.635,2,1,1,6,3,4,6,-0.3381,1.2584,0.7972,1
747.374,2,1,1,5,3,6,6,0.2947,2.4143,1.8006,1
623.209,2,1,2,5,4,6,6,0.6642,0.3783,0.9491,1
437.347,2,1,2,4,3,4,4,-0.3381,0.468,-0.828,1
544.029,2,1,1,4,4,6,6,0.6642,1.8362,1.4435,1
525.473,1,1,2,4,3,6,6,-0.5064,0.2098,-0.1667,1
571.437,1,1,1,5,1,5,6,-2.032,1.629,1.4294,1
522.679,1,1,2,3,4,5,5,1.5611,0.1745,0.2378,1
577.287,1,1,1,5,2,6,6,-1.251,1.2068,1.1916,1
432.612,1,1,2,4,3,4,6,-0.3381,0.346,1.0405,1
572.238,1,1,1,6,3,6,6,-0.3381,0.7474,1.1054,1
441.869,1,1,1.119484198,3,3,6,6,0.0248,1.9289,1.5189,1
547.346,1,1,2,4,4,6,6,1.5043,0.9537,1.2432,1
489.283,1,1,2,3,3,6,6,0.3791,1.4952,1.2149,1
475.379,1,1,2,2,3,4,4,-0.3381,-0.0988,-0.995,1
606.77,1,1,1,5,2,6,6,-0.654,1.8241,0.7572,1
